Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.68024,-1.4149,0.026006,0,0,0,8.1743,2.3867,0.0012133,-1.163E-05,2.3853,-6.2917E-06,4.7628,0,0,0,0,0,0,package://Assem2/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem2/meshes/base_link.STL,,onder frame-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Xonder_1,4.0581E-09,1.1102E-15,0.034,0,0,0,0.056342,1.6014E-05,6.1062E-11,-9.0738E-19,2.7464E-05,6.1062E-11,1.6014E-05,0,0,0,0,0,0,package://Assem2/meshes/Xonder_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem2/meshes/Xonder_1.STL,,Kruisstuk 75-4,Origin_Xonder_1_joint,,Xonder_1_joint,revolute,0.49551,-2.0953,0.10657,1.2911,-0.41982,0.11654,base_link,0,0,1,1000,10,0,3.14,,,,,,,,
onderaktuator_1,-0.046341,0.24999,0.034776,0,0,0,1.8654,0.058489,-0.0045785,7.4943E-05,0.005697,7.6664E-05,0.062948,0,0,0,0,0,0,package://Assem2/meshes/onderaktuator_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem2/meshes/onderaktuator_1.STL,,onder aktuator-1,Origin_onderaktuator_1_joint,,onderaktuator_1_joint,revolute,-0.034,0,0.034,-1.5708,1.5558,-1.5708,Xonder_1,0,0,1,1000,10,0,3.14,,,,,,,,
stangaktuator_1,1.9212E-07,-2.0663E-07,-0.17446,0,0,0,0.27817,0.0068049,-8.1426E-11,-1.5965E-09,0.0068049,3.7643E-09,2.2188E-05,0,0,0,0,0,0,package://Assem2/meshes/stangaktuator_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem2/meshes/stangaktuator_1.STL,,stang aktuator-1,Origin_stangaktuator_1_joint,Axis_stangaktuator_1_joint,stangaktuator_1_joint,prismatic,0,0.6141,0.034,1.5708,0.17904,-3.1416,onderaktuator_1,0,0,1,3000,10,0,0.4,,,,,,,,
lager_1,-7.02949809472386E-10,9.83808590149238E-11,0.00761130965278722,0,0,0,0.217501495703173,0.000106880183994852,5.69256203837754E-06,-7.96059898704768E-13,9.55271032351514E-05,-5.01418969448789E-12,0.000156046844227139,0,0,0,0,0,0,package://Assem2/meshes/lager_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/lager_1.STL,,lager-1,Origin_lager_1_joint,Axis_lager_1_joint,lager_1_joint,revolute,0,0,0.13525,0,0,-1.3682,stangaktuator_1,0,0,1,1000,10,0,3.14,,,,,,,,
Xboven_1,-4.05809563730486E-09,3.21964677141295E-15,4.05807443204509E-09,0,0,0,0.056342036825042,1.60143282288172E-05,-6.10624437311296E-11,-9.43594703241291E-19,2.74639311273774E-05,-6.10624437891513E-11,1.60143282288171E-05,0,0,0,0,0,0,package://Assem2/meshes/Xboven_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/Xboven_1.STL,,Kruisstuk 75-7,Origin_Xboven_1_joint,Axis_Xboven_1_joint,Xboven_1_joint,revolute,0,0,0.058926,1.5558,0,1.9642,lager_1,-1,0,0,1000,10,0,3.14,,,,,,,,
U_1,6.02921734760287E-09,0.023965209376635,0.0339999979976191,0,0,0,0.0691680669253734,3.71147088047297E-05,-1.20932779349426E-11,1.11394230980637E-10,3.75575627876219E-05,-1.46442444150324E-11,2.10363555468146E-05,0,0,0,0,0,0,package://Assem2/meshes/U_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/U_1.STL,,U-1,Origin_U_1_joint,Axis_U_1_joint,U_1_joint,revolute,0,0,0.034,-3.1416,0,2.9798,Xboven_1,0,0,-1,1000,10,0,3.14,,,,,,,,
schijfA_1,2.55351295663786E-14,0.000500000000002943,2.57571741713036E-14,0,0,0,0.00424821866581685,1.47161295786626E-06,1.27584337680179E-20,1.21760986167806E-21,2.94251787928822E-06,-9.97910690983973E-21,1.47161295786626E-06,0,0,0,0,0,0,package://Assem2/meshes/schijfA_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/schijfA_1.STL,,schijf A-15,Origin_schijfA_1_joint,,schijfA_1_joint,fixed,0,0.043,0.034,0,-1.0472,0,U_1,0,0,0,,,,,,,,,,,,
Xonder_2,4.0581E-09,5.2736E-15,0.034,0,0,0,0.056342,1.6014E-05,6.1062E-11,-8.9627E-19,2.7464E-05,6.1062E-11,1.6014E-05,0,0,0,0,0,0,package://Assem2/meshes/Xonder_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem2/meshes/Xonder_2.STL,,Kruisstuk 75-3,Origin_Xonder_2_joint,,Xonder_2_joint,revolute,0.86543,-2.0953,0.10657,1.2911,0.41982,-0.11654,base_link,0,0,1,1000,10,0,3.14,,,,,,,,
onderaktuator_2,-0.046341,0.24999,0.034776,0,0,0,1.8654,0.058489,-0.0045785,7.4943E-05,0.005697,7.6664E-05,0.062948,0,0,0,0,0,0,package://Assem2/meshes/onderaktuator_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem2/meshes/onderaktuator_2.STL,,onder aktuator-2,Origin_onderaktuator_2_joint,,onderaktuator_2_joint,revolute,-0.034,0,0.034,-1.5708,1.5558,-1.5708,Xonder_2,0,0,1,1000,10,0,3.14,,,,,,,,
